Power,Velocity,beam D,layer thickness,Hatch spacing,defect_label
250,1100,50.0,50.0,40.0,0
250,1400,50.0,40.58,40.0,0
250,1900,50.0,35.0,35.0,0
380,1900,50.0,45.0,40.0,0
380,2400,50.0,35.0,40.0,0
380,3000,50.0,30.0,37.5,0
380,3800,50.0,24.0,35.0,0
160,1000,50.0,36.0,40.0,0
160,1500,50.0,25.0,40.0,0
160,2000,50.0,20.0,40.0,0
300,1500,50.0,40.0,45.0,0
300,2000,50.0,30.0,40.0,0
300,2500,50.0,30.0,40.0,0
300,3000,50.0,25.0,40.0,0
400,1800,50.0,45.0,42.0,0
400,2500,50.0,0.04,0.04,0
400,3000,50.0,30.0,40.0,0
400,3500,50.0,30.0,35.0,0
400,4000,50.0,0.025,0.04,0
450,1900,50.0,60.0,35.0,0
450,2500,50.0,37.5,40.0,0
450,3000,50.0,40.0,35.0,0
450,3500,50.0,30.0,40.0,0
450,4000,50.0,30.0,40.0,0
450,4300,50.0,30.0,35.0,0
220,1000,100.0,30.0,80.0,0
220,1500,100.0,20.0,70.0,0
220,1800,100.0,20.0,60.0,0
300,1200,100.0,30.0,80.0,0
300,1500,100.0,30.0,70.0,0
300,2000,100.0,20.0,75.0,0
300,2400,100.0,20.0,68.0,0
400,1500,100.0,30.0,80.0,0
400,2000,100.0,25.0,80.0,0
400,2500,100.0,20.0,80.0,0
400,3000,100.0,20.0,70.0,0
400,3200,100.0,20.0,60.0,0
500,1800,100.0,30.0,80.0,0
500,2000,100.0,30.0,80.0,0
500,2500,100.0,0.0227,0.08,0
500,3000,100.0,20.0,70.0,0
500,3500,100.0,20.0,70.0,0
500,4000,100.0,20.0,70.0,0
500,4200,100.0,20.0,70.0,0
550,1900,100.0,40.0,80.0,0
550,2500,100.0,25.0,80.0,0
550,3000,100.0,27.0,70.0,0
550,3500,100.0,20.0,70.0,0
550,4000,100.0,20.0,70.0,0
550,4800,100.0,20.0,63.0,0
100,400,80.0,50.0,56.0,0
100,500,80.0,50.0,40.0,0
100,600,80.0,50.0,35.0,0
100,700,80.0,50.0,28.0,0
100,800,80.0,50.0,24.0,0
100,900,80.0,50.0,20.0,0
100,1000,80.0,50.0,20.0,0
100,1200,80.0,50.0,15.0,0
150,600,80.0,50.0,50.0,0
150,800,80.0,50.0,40.0,0
150,1000,80.0,50.0,56.0,0
150,1200,80.0,50.0,27.0,0
200,800,80.0,50.0,56.0,0
200,1000,80.0,50.0,44.0,0
900,400,240.0,50.0,216.0,0
900,500,240.0,50.0,216.0,0
170,600,100.0,20.0,0.11,0
170,700,100.0,20.0,90.0,0
170,800,100.0,20.0,85.0,0
170,900,100.0,20.0,86.0,0
170,1000,100.0,20.0,70.0,0
195,600,100.0,20.0,120.0,0
195,700,100.0,20.0,0.1,0
195,800,100.0,20.0,90.0,0
220,600,100.0,20.0,140.0,0
220,700,100.0,20.0,131.0,0
220,800,100.0,20.0,0.1,0
100,400,80.0,50.0,50.0,0
100,500,80.0,50.0,40.0,0
100,600,80.0,50.0,35.0,0
100,700,80.0,50.0,31.7,0
100,800,80.0,50.0,25.0,0
100,900,80.0,50.0,24.0,0
100,1000,80.0,50.0,20.0,0
100,1200,80.0,50.0,15.0,0
150,600,80.0,50.0,50.0,0
150,800,80.0,50.0,40.0,0
150,1000,80.0,50.0,33.0,0
150,1200,80.0,50.0,25.0,0
200,800,80.0,50.0,55.0,0
200,1000,80.0,50.0,40.0,0
900,400,240.0,50.0,0.36,0
900,500,240.0,50.0,260.0,0
170,600,100.0,20.0,105.0,0
170,700,100.0,20.0,90.0,0
170,800,100.0,20.0,80.0,0
170,900,100.0,20.0,80.0,0
170,1000,100.0,20.0,80.0,0
195,600,100.0,20.0,120.0,0
195,700,100.0,20.0,110.0,0
195,800,100.0,20.0,0.09,0
220,600,100.0,20.0,90.0,0
220,700,100.0,20.0,120.0,0
220,800,100.0,20.0,100.0,0
45,400,80.0,40.0,64.0,1
45,900,0.08,0.04,0.064,1
45,1400,85.0,40.0,68.0,1
45,1900,0.08,0.04,0.068,1
45,2400,0.08,0.04,0.064,1
45,2900,90.0,40.0,72.0,1
45,3400,85.0,40.0,68.0,1
130,1900,0.1,0.06,0.09,1
130,2400,80.0,20.0,60.0,1
130,2900,80.0,40.0,64.0,1
130,3400,0.085,0.03,0.0595,1
220,2400,80.0,26.0,64.0,1
220,2900,0.08,0.02,0.056,1
220,3400,0.08,0.04,0.064,1
80,400,50.0,60.0,48.0,1
80,600,50.0,60.0,45.0,1
80,800,50.0,40.0,40.0,1
80,1200,50.0,40.0,40.0,1
80,1400,50.0,0.04,0.04,1
120,600,50.0,60.0,50.0,1
120,800,50.0,50.0,45.0,1
120,1000,50.0,50.0,45.0,1
120,1200,50.0,45.0,40.0,1
120,1900,50.0,30.0,40.0,1
120,2400,50.0,40.0,40.0,1
250,2400,50.0,0.04735,0.04,1
250,3800,50.0,40.0,40.0,1
250,5000,50.0,0.04,0.04,1
100,1400,80.0,50.0,64.0,1
150,1400,80.0,50.0,72.0,1
150,1500,80.0,50.0,72.0,1
150,1600,80.0,50.0,64.0,1
150,1800,80.0,50.0,0.06,1
150,2000,80.0,50.0,64.0,1
200,1200,80.0,50.0,64.0,1
100,1400,80.0,50.0,64.0,1
150,1400,80.0,50.0,64.0,1
150,1500,80.0,50.0,64.0,1
150,1600,80.0,50.0,64.0,1
150,1800,80.0,50.0,64.0,1
150,2000,80.0,50.0,68.0,1
200,1200,80.0,50.0,72.0,1
380,5800,50.0,20.0,40.0,2
380,7400,50.0,20.0,35.0,2
500,5000,50.0,31.25,40.0,2
500,7600,50.0,0.02,0.04,2
500,10000,50.0,20.0,35.0,2
620,6000,50.0,0.032,0.04,2
620,9300,50.0,24.0,35.0,2
750,7800,50.0,30.0,40.0,2
880,2100,50.0,50.0,100.0,2
880,7000,50.0,40.0,40.0,2
1000,8000,50.0,40.0,40.0,2
1000,10000,50.0,32.0,40.0,2
200,1400,80.0,50.0,40.0,2
200,1600,80.0,50.0,0.03125,2
200,1800,80.0,50.0,28.0,2
200,2000,80.0,50.0,25.0,2
200,2200,80.0,50.0,56.0,2
300,1200,80.0,50.0,64.0,2
300,1400,80.0,50.0,60.0,2
300,1600,80.0,50.0,46.875,2
300,1800,80.0,50.0,42.0,2
300,2000,80.0,50.0,40.0,2
300,2200,80.0,50.0,35.0,2
300,2400,80.0,50.0,31.25,2
300,2600,80.0,50.0,28.85,2
900,600,240.0,50.0,375.0,2
900,700,240.0,50.0,320.0,2
900,800,240.0,50.0,264.7,2
900,900,240.0,50.0,222.0,2
900,1000,240.0,50.0,0.216,2
900,1200,240.0,50.0,187.5,2
900,1400,240.0,50.0,180.0,2
1350,600,240.0,50.0,562.5,2
1350,800,240.0,50.0,421.875,2
1350,1000,240.0,50.0,337.5,2
1350,1200,240.0,50.0,0.28,2
1350,1400,240.0,50.0,0.216,2
1350,1500,240.0,50.0,216.0,2
1350,1600,240.0,50.0,0.21,2
1350,1800,240.0,50.0,192.0,2
1350,2000,240.0,50.0,170.0,2
1800,800,240.0,50.0,562.5,2
1800,1000,240.0,50.0,216.0,2
1800,1200,240.0,50.0,0.375,2
1800,1400,240.0,50.0,321.4,2
1800,1600,240.0,50.0,281.25,2
1800,1800,240.0,50.0,230.0,2
1800,2000,240.0,50.0,216.0,2
1800,2200,240.0,50.0,204.5,2
1800,2400,240.0,50.0,187.5,2
170,1100,100.0,20.0,90.0,2
170,1200,100.0,20.0,90.0,2
170,1300,100.0,20.0,80.0,2
195,900,100.0,20.0,120.0,2
195,1000,100.0,20.0,0.12,2
195,1100,100.0,20.0,110.0,2
195,1200,100.0,20.0,90.0,2
195,1300,100.0,20.0,90.0,2
220,900,100.0,20.0,150.0,2
220,1000,100.0,20.0,140.0,2
220,1100,100.0,20.0,125.0,2
220,1200,100.0,20.0,115.0,2
220,1300,100.0,20.0,90.0,2
200,1400,80.0,50.0,40.0,2
200,1600,80.0,50.0,35.0,2
200,1800,80.0,50.0,30.0,2
200,2000,80.0,50.0,56.0,2
200,2200,80.0,50.0,25.0,2
200,2400,80.0,50.0,72.0,2
300,1200,80.0,50.0,70.0,2
300,1400,80.0,50.0,56.0,2
300,1600,80.0,50.0,50.0,2
300,1800,80.0,50.0,41.67,2
300,2000,80.0,50.0,40.0,2
300,2200,80.0,50.0,35.0,2
300,2400,80.0,50.0,32.0,2
300,2600,80.0,50.0,56.0,2
900,600,240.0,50.0,375.0,2
900,700,240.0,50.0,300.0,2
900,800,240.0,50.0,281.25,2
900,900,240.0,50.0,0.24,2
900,1000,240.0,50.0,0.21,2
900,1200,240.0,50.0,180.0,2
900,1400,240.0,50.0,168.0,2
1350,600,240.0,50.0,0.5625,2
1350,800,240.0,50.0,420.0,2
1350,1000,240.0,50.0,0.338,2
1350,1200,240.0,50.0,265.0,2
1350,1400,240.0,50.0,216.0,2
1350,1500,240.0,50.0,216.0,2
1350,1600,240.0,50.0,200.0,2
1350,1800,240.0,50.0,187.5,2
1350,2000,240.0,50.0,168.0,2
1800,800,240.0,50.0,562.5,2
1800,1000,240.0,50.0,450.0,2
1800,1200,240.0,50.0,375.0,2
1800,1400,240.0,50.0,300.0,2
1800,1600,240.0,50.0,265.0,2
1800,1800,240.0,50.0,240.0,2
1800,2000,240.0,50.0,0.21,2
1800,2200,240.0,50.0,204.5,2
1800,2400,240.0,50.0,0.1875,2
170,1100,100.0,20.0,90.0,2
170,1200,100.0,20.0,88.0,2
170,1300,100.0,20.0,80.0,2
195,900,100.0,20.0,125.0,2
195,1000,100.0,20.0,110.0,2
195,1100,100.0,20.0,105.0,2
195,1200,100.0,20.0,90.0,2
195,1300,100.0,20.0,90.0,2
220,900,100.0,20.0,150.0,2
220,1000,100.0,20.0,130.0,2
220,1100,100.0,20.0,120.0,2
220,1200,100.0,20.0,0.12,2
220,1300,100.0,20.0,106.0,2
130,400,90.0,28.2,72.0,3
130,900,0.07,0.02,0.049,3
130,1400,0.07,0.02,0.049,3
220,400,80.0,40.0,64.0,3
220,900,0.08,0.02,0.056,3
220,1400,0.07,0.02,0.05,3
220,1900,70.0,15.0,49.0,3
300,400,0.1,0.05,0.08,3
300,900,80.0,20.0,60.0,3
300,1400,0.07143,0.02,0.05,3
300,1900,70.0,20.0,49.0,3
300,2400,70.0,20.0,49.0,3
300,2900,0.08,0.02,0.032,3
300,3400,0.07,0.02,0.049,3
80,100,50.0,60.0,45.0,3
80,200,50.0,50.0,40.0,3
120,200,50.0,60.0,40.0,3
120,400,50.0,40.0,45.0,3
250,500,50.0,40.0,40.0,3
250,800,50.0,50.0,40.0,3
380,800,50.0,40.0,40.0,3
380,1400,50.0,40.0,40.0,3
500,1400,50.0,40.0,40.0,3
500,1900,50.0,36.5,40.0,3
500,2500,50.0,30.0,35.0,3
500,3000,50.0,25.0,40.0,3
500,3900,50.0,20.0,35.0,3
620,1900,50.0,50.0,35.0,3
620,2200,50.0,40.0,40.0,3
620,3000,50.0,30.0,40.0,3
620,4000,50.0,0.03,0.035,3
620,5000,50.0,20.0,35.0,3
750,2000,50.0,0.05,0.04,3
750,3000,50.0,35.0,40.0,3
750,4000,50.0,30.0,35.0,3
750,5000,50.0,20.0,35.0,3
750,6000,50.0,20.0,35.0,3
880,3200,50.0,40.0,40.0,3
880,4400,50.0,35.0,35.0,3
880,5800,50.0,25.0,35.0,3
1000,2300,50.0,60.0,45.0,3
1000,4000,50.0,30.0,40.0,3
1000,5600,50.0,30.0,35.0,3
1000,6500,50.0,30.0,35.0,3
2700,1200,240.0,50.0,192.0,3
2700,1400,240.0,50.0,0.2142857143,3
2700,1600,240.0,50.0,0.192,3
2700,1800,240.0,50.0,180.0,3
2700,2000,240.0,50.0,180.0,3
2700,2200,240.0,50.0,168.0,3
2700,2400,240.0,50.0,140.0,3
2700,2600,240.0,50.0,0.13,3
2700,1200,240.0,50.0,192.0,3
2700,1400,240.0,50.0,0.168,3
2700,1600,240.0,50.0,200.0,3
2700,1800,240.0,50.0,180.0,3
2700,2000,240.0,50.0,168.8,3
2700,2200,240.0,50.0,168.0,3
2700,2400,240.0,50.0,120.0,3
2700,2600,240.0,50.0,0.125,3
